N,density,flux
839,0.839,40
783,0.783,51
751,0.751,73
877,0.877,24
840,0.84,26
784,0.784,48
752,0.752,53
841,0.841,36
878,0.878,25
785,0.785,41
753,0.753,63
842,0.842,25
879,0.879,27
786,0.786,43
754,0.754,60
843,0.843,34
880,0.88,21
787,0.787,42
755,0.755,62
844,0.844,37
788,0.788,52
756,0.756,60
881,0.881,17
789,0.789,56
757,0.757,60
845,0.845,44
882,0.882,22
758,0.758,56
790,0.79,55
846,0.846,27
883,0.883,20
759,0.759,62
791,0.791,47
847,0.847,27
884,0.884,22
760,0.76,48
792,0.792,48
848,0.848,38
885,0.885,19
761,0.761,65
793,0.793,43
849,0.849,31
886,0.886,21
762,0.762,58
794,0.794,43
850,0.85,26
763,0.763,62
887,0.887,9
795,0.795,48
851,0.851,32
764,0.764,55
888,0.888,15
796,0.796,56
852,0.852,28
765,0.765,50
797,0.797,43
889,0.889,16
766,0.766,63
853,0.853,35
798,0.798,47
890,0.89,13
767,0.767,54
854,0.854,40
799,0.799,32
891,0.891,12
768,0.768,53
855,0.855,26
800,0.8,55
892,0.892,10
904,0.904,19
856,0.856,33
801,0.801,40
893,0.893,14
905,0.905,12
857,0.857,29
802,0.802,44
894,0.894,8
906,0.906,14
858,0.858,31
803,0.803,58
895,0.895,12
907,0.907,7
804,0.804,49
859,0.859,33
896,0.896,16
805,0.805,40
908,0.908,16
860,0.86,25
897,0.897,15
806,0.806,47
861,0.861,29
909,0.909,7
807,0.807,45
898,0.898,15
862,0.862,28
910,0.91,19
808,0.808,50
899,0.899,14
863,0.863,29
911,0.911,4
809,0.809,39
900,0.9,13
864,0.864,20
912,0.912,7
810,0.81,30
901,0.901,13
865,0.865,12
913,0.913,14
811,0.811,48
902,0.902,11
866,0.866,20
914,0.914,12
812,0.812,36
867,0.867,31
903,0.903,13
915,0.915,13
813,0.813,39
868,0.868,30
929,0.929,3
916,0.916,0
814,0.814,32
869,0.869,28
930,0.93,0
815,0.815,38
917,0.917,8
870,0.87,23
816,0.816,40
931,0.931,6
918,0.918,2
947,0.947,0
817,0.817,34
932,0.932,0
919,0.919,10
818,0.818,42
948,0.948,0
933,0.933,5
920,0.92,3
819,0.819,33
949,0.949,0
934,0.934,0
921,0.921,3
820,0.82,38
950,0.95,0
935,0.935,0
922,0.922,7
821,0.821,40
951,0.951,0
936,0.936,5
923,0.923,5
822,0.822,34
952,0.952,0
937,0.937,2
924,0.924,9
823,0.823,40
953,0.953,0
938,0.938,0
925,0.925,0
824,0.824,33
954,0.954,0
825,0.825,40
926,0.926,0
939,0.939,0
826,0.826,37
955,0.955,0
927,0.927,10
940,0.94,4
961,0.961,0
956,0.956,0
928,0.928,3
941,0.941,6
962,0.962,0
957,0.957,0
971,0.971,0
942,0.942,0
963,0.963,0
958,0.958,0
972,0.972,0
943,0.943,2
964,0.964,0
959,0.959,0
944,0.944,0
973,0.973,0
965,0.965,0
945,0.945,0
960,0.96,0
974,0.974,0
966,0.966,0
946,0.946,2
979,0.979,0
975,0.975,0
967,0.967,0
985,0.985,0
980,0.98,0
976,0.976,0
968,0.968,0
986,0.986,0
977,0.977,0
981,0.981,0
969,0.969,0
987,0.987,0
978,0.978,0
982,0.982,0
970,0.97,0
988,0.988,0
989,0.989,0
983,0.983,0
992,0.992,0
990,0.99,0
995,0.995,0
984,0.984,0
993,0.993,0
991,0.991,0
996,0.996,0
997,0.997,0
994,0.994,0
998,0.998,0
999,0.999,0
1000,1,0
